rank_global,rank_within_view,object_name,view_name,frame_id,image_path,image_exists,mask_height,mask_width,mask_area_pixels,mask_area_ratio,decode_ok,error
1,1,stainless bowl_0,aria01_214-1,3450,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/3450.jpg,True,1408,1408,77687,0.03918709242639463,True,
2,2,stainless bowl_0,aria01_214-1,3630,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/3630.jpg,True,1408,1408,67250,0.03392243188274793,True,
3,3,stainless bowl_0,aria01_214-1,3930,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/3930.jpg,True,1408,1408,53598,0.027036052104855372,True,
4,4,stainless bowl_0,aria01_214-1,3480,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/3480.jpg,True,1408,1408,41850,0.02111009329803719,True,
5,5,stainless bowl_0,aria01_214-1,2790,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/2790.jpg,True,1408,1408,41124,0.02074388236053719,True,
6,6,stainless bowl_0,aria01_214-1,2940,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/2940.jpg,True,1408,1408,39922,0.020137566180268594,True,
7,7,stainless bowl_0,aria01_214-1,2850,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/2850.jpg,True,1408,1408,39089,0.019717382005423553,True,
8,8,stainless bowl_0,aria01_214-1,2910,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/2910.jpg,True,1408,1408,39072,0.01970880681818182,True,
9,9,stainless bowl_0,aria01_214-1,3420,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/3420.jpg,True,1408,1408,38960,0.01965231146694215,True,
10,10,stainless bowl_0,aria01_214-1,2880,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/2880.jpg,True,1408,1408,38951,0.01964777166193182,True,
