rank_global,rank_within_view,object_name,view_name,frame_id,image_path,image_exists,mask_height,mask_width,mask_area_pixels,mask_area_ratio,decode_ok,error
1,1,stainless milk container_0,aria01_214-1,960,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/960.jpg,True,1408,1408,57900,0.02920607889979339,True,
2,2,stainless milk container_0,aria01_214-1,840,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/840.jpg,True,1408,1408,45118,0.022758546939566117,True,
3,3,stainless milk container_0,aria01_214-1,810,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/810.jpg,True,1408,1408,43263,0.021822842684659092,True,
4,4,stainless milk container_0,aria01_214-1,720,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/720.jpg,True,1408,1408,42823,0.02160089666193182,True,
5,5,stainless milk container_0,aria01_214-1,930,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/930.jpg,True,1408,1408,40911,0.020636440308626033,True,
6,6,stainless milk container_0,aria01_214-1,780,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/780.jpg,True,1408,1408,39789,0.02007047795067149,True,
7,7,stainless milk container_0,aria01_214-1,690,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/690.jpg,True,1408,1408,38308,0.019323427815082644,True,
8,8,stainless milk container_0,aria01_214-1,870,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/870.jpg,True,1408,1408,36085,0.01820209597753099,True,
9,9,stainless milk container_0,aria01_214-1,750,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/750.jpg,True,1408,1408,35796,0.01805631779442149,True,
10,10,stainless milk container_0,aria01_214-1,990,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/990.jpg,True,1408,1408,30166,0.015216417549070249,True,
11,11,stainless milk container_0,aria01_214-1,900,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/900.jpg,True,1408,1408,30083,0.01517455045841942,True,
12,12,stainless milk container_0,aria01_214-1,630,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/630.jpg,True,1408,1408,21529,0.01085971800748967,True,
13,13,stainless milk container_0,aria01_214-1,1500,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/1500.jpg,True,1408,1408,19038,0.00960320086518595,True,
14,14,stainless milk container_0,aria01_214-1,1830,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/1830.jpg,True,1408,1408,16487,0.008316418356146695,True,
15,15,stainless milk container_0,aria01_214-1,60,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/60.jpg,True,1408,1408,14966,0.007549191309400826,True,
