rank_global,rank_within_view,object_name,view_name,frame_id,image_path,image_exists,mask_height,mask_width,mask_area_pixels,mask_area_ratio,decode_ok,error
1,1,stainless pakkad_0,aria01_214-1,3630,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/3630.jpg,True,1408,1408,22467,0.011332866574121902,True,
2,2,stainless pakkad_0,aria01_214-1,3930,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/3930.jpg,True,1408,1408,21339,0.010763877679493801,True,
3,3,stainless pakkad_0,aria01_214-1,3450,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/3450.jpg,True,1408,1408,18480,0.009321732954545454,True,
4,4,stainless pakkad_0,aria01_214-1,2820,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/2820.jpg,True,1408,1408,18311,0.009236485504907025,True,
5,5,stainless pakkad_0,aria01_214-1,3780,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/3780.jpg,True,1408,1408,17741,0.00894896452091942,True,
6,6,stainless pakkad_0,aria01_214-1,3900,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/3900.jpg,True,1408,1408,17415,0.00878452269498967,True,
7,7,stainless pakkad_0,aria01_214-1,2910,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/2910.jpg,True,1408,1408,17225,0.008688682366993801,True,
8,8,stainless pakkad_0,aria01_214-1,3420,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/3420.jpg,True,1408,1408,16983,0.008566612054493801,True,
9,9,stainless pakkad_0,aria01_214-1,3960,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/3960.jpg,True,1408,1408,16932,0.008540886492768594,True,
10,10,stainless pakkad_0,aria01_214-1,3600,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/3600.jpg,True,1408,1408,16827,0.008487922100981406,True,
11,11,stainless pakkad_0,aria01_214-1,2790,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/2790.jpg,True,1408,1408,16814,0.008481364604855372,True,
12,12,stainless pakkad_0,aria01_214-1,2880,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/2880.jpg,True,1408,1408,16766,0.008457152311466942,True,
