rank_global,rank_within_view,object_name,view_name,frame_id,image_path,image_exists,mask_height,mask_width,mask_area_pixels,mask_area_ratio,decode_ok,error
1,1,tea container_0,aria01_214-1,1320,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/1320.jpg,True,1408,1408,81457,0.04108876630294422,True,
2,2,tea container_0,aria01_214-1,1440,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/1440.jpg,True,1408,1408,61423,0.030983160349948347,True,
3,3,tea container_0,aria01_214-1,1290,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/1290.jpg,True,1408,1408,53520,0.026996707128099172,True,
4,4,tea container_0,aria01_214-1,1350,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/1350.jpg,True,1408,1408,50041,0.02524182028021694,True,
5,5,tea container_0,aria01_214-1,1230,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/1230.jpg,True,1408,1408,47108,0.0237623482696281,True,
6,6,tea container_0,aria01_214-1,1200,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/1200.jpg,True,1408,1408,44678,0.02253660091683884,True,
7,7,tea container_0,aria01_214-1,1260,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/1260.jpg,True,1408,1408,44197,0.02229397356017562,True,
8,8,tea container_0,aria01_214-1,1410,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/1410.jpg,True,1408,1408,12496,0.006303267045454545,True,
9,9,tea container_0,aria01_214-1,1470,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/1470.jpg,True,1408,1408,9366,0.004724423747417356,True,
10,10,tea container_0,aria01_214-1,1080,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/1080.jpg,True,1408,1408,6333,0.0031945094589359503,True,
11,11,tea container_0,aria01_214-1,1860,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/1860.jpg,True,1408,1408,5120,0.0025826446280991736,True,
12,12,tea container_0,aria01_214-1,1800,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/1800.jpg,True,1408,1408,4783,0.0024126541516012396,True,
