rank_global,rank_within_view,object_name,view_name,frame_id,image_path,image_exists,mask_height,mask_width,mask_area_pixels,mask_area_ratio,decode_ok,error
1,1,yellow tea strainer_0,aria01_214-1,3870,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/3870.jpg,True,1408,1408,23194,0.011699581934400826,True,
2,2,yellow tea strainer_0,aria01_214-1,3840,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/3840.jpg,True,1408,1408,22037,0.011115964779183885,True,
3,3,yellow tea strainer_0,aria01_214-1,3960,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/3960.jpg,True,1408,1408,21207,0.01069729387267562,True,
4,4,yellow tea strainer_0,aria01_214-1,3900,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/3900.jpg,True,1408,1408,20440,0.01031040160123967,True,
5,5,yellow tea strainer_0,aria01_214-1,3810,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/3810.jpg,True,1408,1408,20303,0.01024129568052686,True,
6,6,yellow tea strainer_0,aria01_214-1,3930,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/3930.jpg,True,1408,1408,19406,0.00978882844783058,True,
7,7,yellow tea strainer_0,aria01_214-1,3990,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/3990.jpg,True,1408,1408,12888,0.006501000774793388,True,
8,8,yellow tea strainer_0,aria01_214-1,990,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/990.jpg,True,1408,1408,11237,0.00566819876678719,True,
9,9,yellow tea strainer_0,aria01_214-1,4320,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/4320.jpg,True,1408,1408,10698,0.005396314888946281,True,
10,10,yellow tea strainer_0,aria01_214-1,4020,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/4020.jpg,True,1408,1408,9986,0.0050371658703512396,True,
11,11,yellow tea strainer_0,aria01_214-1,4200,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/4200.jpg,True,1408,1408,9011,0.0045453536608987604,True,
12,12,yellow tea strainer_0,aria01_214-1,4290,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/4290.jpg,True,1408,1408,8862,0.004470194666838843,True,
13,13,yellow tea strainer_0,aria01_214-1,4260,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/4260.jpg,True,1408,1408,8679,0.004377885298295455,True,
14,14,yellow tea strainer_0,aria01_214-1,4080,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/4080.jpg,True,1408,1408,8535,0.004305248418130165,True,
15,15,yellow tea strainer_0,aria01_214-1,4230,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/4230.jpg,True,1408,1408,8519,0.004297177653667356,True,
16,16,yellow tea strainer_0,aria01_214-1,4050,/scratch/users/ntu/gwang016/datasets/Ego-Exo4D-Relation-Test/extracted/work/yuqian_fu/Ego/data_segswap_test/0099226c-9bec-44aa-ba43-2b90eb7b8379/aria01_214-1/4050.jpg,True,1408,1408,8312,0.004192762138429752,True,
